WEEK_NUM,WEEK,PROGRAM,CH,KAKAO,NAVER,YOUTUBE
8,8주차(2020/02/17~2020/02/23),사랑의불시착,tvN,2441303,9585760,11140095
8,8주차(2020/02/17~2020/02/23),미스터트롯,TV CHOSUN,4541902,8256703,5108535
8,8주차(2020/02/17~2020/02/23),이태원 클라쓰,JTBC,792350,3494009,6693219
8,8주차(2020/02/17~2020/02/23),슈퍼맨이 돌아왔다,KBS 2,996767,2518557,6489340
8,8주차(2020/02/17~2020/02/23),낭만닥터 김사부 2,SBS,1473069,5189699,3185462
8,8주차(2020/02/17~2020/02/23),나 혼자 산다,MBC,1035985,2174812,4890180
8,8주차(2020/02/17~2020/02/23),투유 프로젝트 - 슈가맨3,JTBC,600208,3492145,3679200
8,8주차(2020/02/17~2020/02/23),아내의 맛,TV CHOSUN,817508,1235649,3057718
8,8주차(2020/02/17~2020/02/23),백종원의 골목식당,SBS,1020681,1401475,1631500
8,8주차(2020/02/17~2020/02/23),동상이몽2_너는 내 운명,SBS,749864,1140709,2045864
8,8주차(2020/02/17~2020/02/23),하이바이마마,tvN,1077129,2514324,26531
8,8주차(2020/02/17~2020/02/23),플레이어2,XtvN,29196,224884,3298693
8,8주차(2020/02/17~2020/02/23),런닝맨,SBS,87939,643810,2763044
8,8주차(2020/02/17~2020/02/23),공부가 머니?,MBC,232868,158423,1956336
8,8주차(2020/02/17~2020/02/23),오분순삭,MBC,371,53640,2163970
8,8주차(2020/02/17~2020/02/23),전지적 참견시점,MBC,331001,509131,1359626
8,8주차(2020/02/17~2020/02/23),사장님 귀는 당나귀 귀,KBS 2,583183,117515,1429299
8,8주차(2020/02/17~2020/02/23),김광현 (세인트루이스 카디널스),MBC PLUS,782328,989385,317710
8,8주차(2020/02/17~2020/02/23),기타(정보없음),기타(정보없음),,,2014739
8,8주차(2020/02/17~2020/02/23),사랑은 뷰티풀 인생은 원더풀,KBS 2,503735,1315232,157307
8,8주차(2020/02/17~2020/02/23),머니게임,tvN,131059,775113,1022262
8,8주차(2020/02/17~2020/02/23),하이에나,SBS,543764,1275688,9603
8,8주차(2020/02/17~2020/02/23),맛남의 광장,SBS,472616,253982,1085981
8,8주차(2020/02/17~2020/02/23),라디오스타,MBC,174520,498457,1070135
8,8주차(2020/02/17~2020/02/23),미운 우리 새끼,SBS,563534,583963,510718
8,8주차(2020/02/17~2020/02/23),놀면 뭐하니?,MBC,155008,601155,831146
8,8주차(2020/02/17~2020/02/23),아는 형님,JTBC,384305,503503,630646
8,8주차(2020/02/17~2020/02/23),어서와 한국은 처음이지?,MBC PLUS,225324,338237,913077
8,8주차(2020/02/17~2020/02/23),옛드 : 옛날 드라마 [드라맛집],MBC,3298,22790,1398828
8,8주차(2020/02/17~2020/02/23),복면가왕,MBC,280807,776836,318817
8,8주차(2020/02/17~2020/02/23),올더케이잼,MBC PLUS,99,565,1356933
8,8주차(2020/02/17~2020/02/23),우아한 모녀,KBS 2,252153,915516,174187
8,8주차(2020/02/17~2020/02/23),방법,tvN,232922,918702,169658
8,8주차(2020/02/17~2020/02/23),SBS NOW,SBS,136,2794,1214187
8,8주차(2020/02/17~2020/02/23),터치,채널A,97455,427146,677390
8,8주차(2020/02/17~2020/02/23),신상출시 편스토랑,KBS 2,256128,248366,684425
8,8주차(2020/02/17~2020/02/23),아이콘택트,채널A,506354,188868,466597
8,8주차(2020/02/17~2020/02/23),맛 좀 보실래요,SBS,438925,674807,
8,8주차(2020/02/17~2020/02/23),해피 투게더 4,KBS 2,329616,427995,310932
8,8주차(2020/02/17~2020/02/23),진짜 농구 핸섬 타이거즈,SBS,111743,306216,645482
8,8주차(2020/02/17~2020/02/23),ISU 쇼트트랙,SBS Sports,582455,446080,
8,8주차(2020/02/17~2020/02/23),다큐멘터리 3일,KBS 1,672,2973,1001945
8,8주차(2020/02/17~2020/02/23),스토브리그,SBS,39785,312760,629642
8,8주차(2020/02/17~2020/02/23),불타는 청춘,SBS,304979,201899,463135
8,8주차(2020/02/17~2020/02/23),류현진 (토론토 블루제이스),MBC PLUS,178331,401472,369276
8,8주차(2020/02/17~2020/02/23),M COUNTDOWN,MNET,43239,670542,217401
8,8주차(2020/02/17~2020/02/23),금요일 금요일 밤에,tvN,65679,221727,629016
8,8주차(2020/02/17~2020/02/23),빽능,SBS,274,8573,852003
8,8주차(2020/02/17~2020/02/23),인간극장,KBS 1,7355,32119,814886
8,8주차(2020/02/17~2020/02/23),인생다큐 마이웨이,TV CHOSUN,502324,41702,306797
8,8주차(2020/02/17~2020/02/23),꽃길만 걸어요,KBS 1,135714,562131,152667
8,8주차(2020/02/17~2020/02/23),쇼! 음악중심,MBC,31049,694518,122388
8,8주차(2020/02/17~2020/02/23),살림하는 남자들,KBS 2,141125,427086,270687
8,8주차(2020/02/17~2020/02/23),너의 목소리가 보여7,MNET,121263,220062,489075
8,8주차(2020/02/17~2020/02/23),책 읽어드립니다,tvN,109854,39879,673443
8,8주차(2020/02/17~2020/02/23),김진의 돌직구 쇼,채널A,1162,21719,773402
8,8주차(2020/02/17~2020/02/23),나는 트로트 가수다,MBC PLUS,85230,184437,512352
