WEEK_SEQ,TITLE,CP_NAME,CATE,TOTAL
2,[MBC창사특집다큐멘터리<곤충위대한본능>],MBC,365일 이상,47
2,[먼저보기]그겨울바람이분다먼저보기,SBS,365일 이상,9
2,[먼저보기]장옥정사랑에살다,SBS,365일 이상,43
2,[묶음]새봄맞이신규예능,KBS,365일 이상,16
2,[설특집파일럿]오딘의눈,MBC,365일 이상,1
2,[추석특집]2014나는가수다,MBC,365일 이상,32
2,[추석특집]나는가수다명곡BEST10,MBC,365일 이상,90
2,<2017년제19대대통령선거>MBC선택2017,MBC,365일 이상,13
2,<MBC다큐스페셜>브라질월드컵특집,MBC,365일 이상,3
2,<더보이즈의꽃미남분식집>,MBC,365일 이상,8
2,<무한도전레전드>리얼버라이어티,MBC,365일 이상,1578
2,<무한도전레전드>몸개그모음,MBC,365일 이상,1884
2,<무한도전레전드>추격전모음,MBC,365일 이상,3425
2,<무한도전레전드>캐릭터쇼,MBC,365일 이상,3691
2,<무한도전스페셜>가요제,MBC,365일 이상,864
2,<무한도전스페셜>릴레이툰,MBC,365일 이상,448
2,<무한도전스페셜>무한상사모음,MBC,365일 이상,22835
2,<아육대>레전드다시보기,MBC,365일 이상,85
2,0시의그녀,MBC,365일 이상,3
2,1%의우정,KBS,365일 이상,225
2,1%의정보,JTBC,365일 이상,6
2,100분토론,MBC,7,1988
2,100분토론,MBC,21,83
2,100분토론,MBC,365,369
2,100분토론,MBC,365일 이상,122
2,100세건강닥터스,MBC,365일 이상,115
2,100세시대전국기행,MBC,365일 이상,14
2,101세의프러포즈,KBS,365일 이상,5
2,12년만의재회달래된장국,JTBC,365일 이상,1355
2,1516잉글랜드FA컵,SBS,365일 이상,22
2,1516프리미어리그,SBS,365일 이상,203
2,17세의조건,SBS,365,132
2,18초,SBS,365일 이상,12
2,1945이키섬부서진기억이데려가는곳,KBS,365일 이상,5
2,1996전설의고향,KBS,365일 이상,1315
2,1997전설의고향,KBS,365일 이상,672
2,1998전설의고향,KBS,365일 이상,511
2,1999SBS가요대전,SBS,365일 이상,180
2,1999전설의고향,KBS,365일 이상,509
2,1박2일1,KBS,365일 이상,96530
2,1박2일2,KBS,365일 이상,5496
2,1박2일4,KBS,7,111934
2,1박2일4,KBS,21,25306
2,1박2일4,KBS,365,11670
2,2001SBS가요대전,SBS,365일 이상,155
2,2008전설의고향,KBS,365일 이상,473
2,2009전설의고향,KBS,365일 이상,688
2,2011MBC가요대제전,MBC,365일 이상,42
2,2011MBC드라마대상,MBC,365일 이상,75
2,2011MBC방송연예대상,MBC,365일 이상,112
2,2011SBS연기대상,SBS,365일 이상,89
2,2011설특집아이돌댄스대격돌,MBC,365일 이상,18
2,2011설특집아이돌스타7080가수왕,MBC,365일 이상,23
2,2011슈퍼모델선발대회,SBS,365일 이상,1
2,2011올댓스케이트서머,SBS,365일 이상,12
2,2012KBS가요대축제,KBS,365일 이상,51
2,2012KBS연기대상,KBS,365일 이상,110
2,2012KBS연예대상,KBS,365일 이상,55
2,2012MBC가요대제전,MBC,365일 이상,24
2,2012MBC대학가요제,MBC,365일 이상,3
2,2012MBC방송연예대상,MBC,365일 이상,87
2,2012MBC연기대상,MBC,365일 이상,92
2,2012MBC한가위특집프로그램안내,MBC,365일 이상,23
2,2012SBS가요대전,SBS,365일 이상,92
2,2012SBS연기대상,SBS,365일 이상,74
2,2012SBS연예대상,SBS,365일 이상,69
2,2012슈퍼모델선발대회,SBS,365일 이상,1
2,2012아이돌스타알까기선수권대회,MBC,365일 이상,9
2,2012아이돌스타올림픽,MBC,365일 이상,10
2,2013KBS가요대축제,KBS,365일 이상,45
2,2013KBS연기대상,KBS,365일 이상,104
2,2013KBS연예대상,KBS,365일 이상,47
2,2013MBC가요대제전,MBC,365일 이상,43
2,2013MBC방송연예대상,MBC,365일 이상,106
2,2013MBC연기대상,MBC,365일 이상,156
2,2013SBS가요대전,SBS,365일 이상,94
2,2013SBS드라마특별시사회그남자그여자와데이트,SBS,365일 이상,39
2,2013SBS연기대상,SBS,365일 이상,156
2,2013SBS연예대상,SBS,365일 이상,66
2,2013설특집아이돌스타육상양궁선수권대회,MBC,365일 이상,23
2,2013슈퍼모델선발대회,SBS,365일 이상,13
2,2013어린이에게새생명을,MBC,365일 이상,2
2,2013전국여자천하장사씨름대회,MBC,365일 이상,3
2,2013희망더하기야구대회,MBC,365일 이상,2
2,2014KBS가요대축제,KBS,365일 이상,64
2,2014KBS연예대상,KBS,365일 이상,109
2,2014LG컵국제여자야구대회,MBC,365일 이상,1
2,2014MBC가요대제전,MBC,365일 이상,73
2,2014MBC방송연예대상,MBC,365일 이상,137
2,2014MBC연기대상,MBC,365일 이상,141
2,2014SBS가요대전SUPER5,SBS,365일 이상,62
2,2014SBS연기대상,SBS,365일 이상,158
2,2014SBS연예대상,SBS,365일 이상,48
2,2014국민의선택,SBS,365일 이상,11
2,2014드라마페스티벌,MBC,365일 이상,267
2,2014롯데리아유소년야구교실'Let'sGo페스티볼',MBC,365일 이상,3
2,2014브라질월드컵,MBC,365일 이상,82
2,2014브라질월드컵경기,KBS,365일 이상,30
2,2014브라질월드컵특집따봉월드컵,KBS,365일 이상,6
2,2014브라질월드컵특집로드투브라질조별전력분석,KBS,365일 이상,2
2,2014브라질월드컵특집월드컵하이라이트,KBS,365일 이상,47
2,2014서울드라마어워즈,SBS,365일 이상,15
2,2014설특집아이돌스타육상양궁풋살컬링선수권대회,MBC,365일 이상,78
2,2014소치동계올림픽결산특집소치의꿈16일간의도전,KBS,365일 이상,4
2,2014어린이에게새생명을,MBC,365일 이상,1
2,2014연기대상,KBS,365일 이상,153
2,2014트로트대축제,KBS,365일 이상,21
2,2014한일전복싱,MBC,365일 이상,2
2,20152016프로배구,KBS,365일 이상,27
2,2015DMC페스티벌,MBC,365일 이상,10
2,2015KBS가요대축제,KBS,365일 이상,110
2,2015KBS국악대상,KBS,365일 이상,1
2,2015KBS대기획넥스트휴먼,KBS,365일 이상,13
2,2015KBS드라마스페셜,KBS,365일 이상,213
2,2015KBS연예대상,KBS,365일 이상,45
2,2015KBS연중기획스포츠코리아새로운시작,KBS,365일 이상,6
2,2015KBS특별기획거꾸로교실의마법1000개의교실,KBS,365일 이상,9
2,2015KCC프로아마최강전,MBC,365일 이상,2
2,2015KPOP월드페스티벌IN창원,KBS,365일 이상,20
2,2015MBC+마이런서울,MBC,365일 이상,1
2,2015MBC가요대제전,MBC,365일 이상,105
2,2015MBC방송연예대상,MBC,365일 이상,160
2,2015MBC연기대상,MBC,365일 이상,147
2,2015SAF가요대전,SBS,365일 이상,122
2,2015SAF연기대상,SBS,365일 이상,163
2,2015SAF연예대상,SBS,365일 이상,119
2,2015광안리세계여자비치발리볼대회,MBC,365일 이상,6
2,2015광주유니버시아드개막식,KBS,365일 이상,1
2,2015류현진재단자선골프대회,MBC,365일 이상,18
2,2015슈퍼모델선발대회,SBS,365일 이상,1
2,2015신한은행농구대잔치,MBC,365일 이상,2
2,2015아시아퍼시픽대학농구챌린지,MBC,365일 이상,1
2,2015연기대상,KBS,365일 이상,198
2,2015인천KPOP콘서트,MBC,365일 이상,1
2,2015인천펜타포트락페스티벌,KBS,365일 이상,8
2,2015트로트대축제,KBS,365일 이상,41
2,2015프리미어12,SBS,365일 이상,51
2,2015희망로드대장정,KBS,365일 이상,2
2,2016AFCU19챔피언십,SBS,365일 이상,18
2,2016AFC챔피언스리그,SBS,365일 이상,2
2,2016DMC페스티벌AMN쇼케이스,MBC,365일 이상,3
2,2016DMC페스티벌특집방송,MBC,365일 이상,33
2,2016KBL프로아마최강전,MBC,365일 이상,2
2,2016KBS국악대상,KBS,365일 이상,2
2,2016KBS연기대상,KBS,365일 이상,233
2,2016KBS연예대상,KBS,365일 이상,84
2,2016KBS창작동요대회,KBS,365일 이상,5
2,2016KPOP월드페스티벌,KBS,365일 이상,6
2,2016K리그클래식,KBS,365일 이상,2
2,2016MBC방송연예대상,MBC,365일 이상,182
2,2016MBC연기대상,MBC,365일 이상,128
2,2016SAF가요대전,SBS,365일 이상,156
2,2016SAF연기대상,SBS,365일 이상,530
2,2016SAF연예대상,SBS,365일 이상,126
2,2016SBS어워즈페스티벌,SBS,365일 이상,38
