"WEEK","PROGRAM","CH","TOTAL","+7일","+21일","+365일","+365일 이상","color"
7,"낭만닥터김사부2","SBS",1170235,866062,166712,137461,0,"blue"
7,"스토브리그","SBS",1149438,697551,120719,331168,0,"blue"
7,"나혼자산다","MBC",871841,608241,72973,111739,78888,"black"
7,"무한도전","MBC",669911,0,0,0,669911,"black"
7,"런닝맨","SBS",646409,233475,42796,118490,251648,"blue"
7,"놀면뭐하니","MBC",459354,304199,63563,91592,0,"black"
7,"백종원의골목식당","SBS",374871,256984,39412,55010,23465,"blue"
7,"슈퍼맨이돌아왔다","KBS",327977,230252,37374,59756,595,"black"
7,"미운우리새끼","SBS",320786,252847,28068,31468,8403,"blue"
7,"낭만닥터김사부","SBS",308669,0,0,0,308669,"blue"
7,"그것이알고싶다","SBS",286953,147202,18396,52637,68718,"blue"
7,"전지적참견시점","MBC",284193,223608,21128,33545,5912,"black"
7,"라디오스타","MBC",243523,145428,36566,38683,22846,"black"
7,"동상이몽2_너는내운명","SBS",211797,164435,21840,17611,7911,"blue"
7,"일일드라마우아한모녀","KBS",211781,180186,9110,22485,0,"black"
7,"더게임0시를향하여","MBC",185995,122475,51646,11874,0,"black"
7,"포레스트","KBS",181443,129934,51509,0,0,"black"
7,"맛좀보실래요","SBS",177614,150684,7406,19524,0,"blue"
7,"거침없이하이킥","MBC",171383,0,0,0,171383,"black"
7,"맛남의광장","SBS",170002,119843,21811,28348,0,"blue"
7,"사랑은뷰티풀인생은원더풀","KBS",162366,128691,13266,20409,0,"black"
7,"꽃길만걸어요","KBS",136339,115919,5296,15124,0,"black"
7,"진짜농구핸섬타이거즈","SBS",128888,96729,19972,12187,0,"blue"
7,"사장님귀는당나귀귀","KBS",120516,67884,8974,43658,0,"black"
7,"연애의참견3","KBS",115693,78488,23469,13736,0,"black"
7,"쌈마이웨이","KBS",113763,0,0,0,113763,"black"
7,"해피투게더","KBS",111471,81976,11646,10765,7084,"black"
7,"김병만의정글의법칙","SBS",107102,38416,13601,22170,32915,"blue"
7,"궁금한이야기Y","SBS",105921,59362,9214,20996,16349,"blue"
7,"1박2일4","KBS",103058,69893,16840,16325,0,"black"
7,"인간극장","KBS",102230,59174,7681,24403,10972,"black"
7,"구해줘홈즈","MBC",99170,58693,11863,27659,955,"black"
7,"두번은없다","MBC",98739,74875,9164,14700,0,"black"
7,"나쁜사랑","MBC",98534,75765,5962,16807,0,"black"
7,"순풍산부인과","SBS",97545,0,0,0,97545,"blue"
7,"개는훌륭하다","KBS",97170,47436,9512,40222,0,"black"
7,"살림하는남자들","KBS",95002,63357,6355,18378,6912,"black"
7,"동백꽃필무렵","KBS",93193,0,0,93193,0,"black"
7,"지붕뚫고하이킥","MBC",88131,0,0,0,88131,"black"
7,"열혈사제","SBS",82122,0,0,81386,736,"blue"
7,"인어아가씨","MBC",80479,0,0,0,80479,"black"
7,"집사부일체","SBS",80327,48982,9157,16240,5948,"blue"
7,"김과장","KBS",76947,0,0,0,76947,"black"
7,"실화탐사대","MBC",72445,36853,8463,20736,6393,"black"
7,"닥터스","SBS",71979,0,0,0,71979,"blue"
7,"무엇이든물어보살","KBS",71123,40628,11535,18493,467,"black"
7,"1박2일1","KBS",70891,0,0,0,70891,"black"
7,"웬만해선그들을막을수없다","SBS",70773,0,0,0,70773,"blue"
7,"씨름의희열","KBS",69765,49909,6652,13204,0,"black"
7,"어쩌다발견한하루","MBC",68893,0,0,68893,0,"black"
7,"복면가왕","MBC",65614,19310,4628,12107,29569,"black"
7,"불타는청춘","SBS",65286,37260,8802,8802,10422,"blue"
7,"아내의유혹","SBS",63357,0,0,0,63357,"blue"
7,"어서와한국은처음이지","MBC",61822,25564,9662,16083,10513,"black"
7,"시크릿가든","SBS",53961,0,0,0,53961,"blue"
7,"TV동물농장","SBS",53061,25198,6148,11723,9992,"blue"
7,"신상출시편스토랑","KBS",52718,26618,9026,17074,0,"black"
7,"왔다장보리","MBC",51144,0,0,0,51144,"black"
7,"MBC스페셜","MBC",50697,34032,4034,8275,4356,"black"
7,"연애의참견2","KBS",50268,0,0,34444,15824,"black"
7,"공사창립특별기획태양의후예","KBS",47457,0,0,0,47457,"black"
7,"선을넘는녀석들리턴즈","MBC",45847,21738,5406,18703,0,"black"
7,"엑스엑스","MBC",45791,21827,17707,6257,0,"black"
7,"오로라공주","MBC",44725,0,0,0,44725,"black"
7,"PD수첩","MBC",42579,23986,6072,9974,2547,"black"
7,"옥탑방의문제아들","KBS",42167,20259,7295,11945,2668,"black"
7,"위대한유혹자","MBC",39375,0,0,0,39375,"black"
7,"끼리끼리","MBC",39240,25998,13242,0,0,"black"
7,"하이킥3짧은다리의역습","MBC",37750,0,0,0,37750,"black"
7,"검법남녀","MBC",36935,0,0,0,36935,"black"
7,"편애중계","MBC",36293,20053,4108,12132,0,"black"
7,"VIP","SBS",35549,0,0,35549,0,"blue"
7,"유희열의스케치북","KBS",33919,15845,4362,9549,4163,"black"
7,"공부가머니","MBC",32270,16081,3890,12299,0,"black"
7,"별에서온그대","SBS",31635,0,0,0,31635,"blue"
7,"수목드라마닥터프리즈너","KBS",31175,0,0,31175,0,"black"
7,"MBC뉴스데스크","MBC",31151,30808,212,131,0,"black"
7,"SBS8뉴스","SBS",30251,29967,201,83,0,"blue"
7,"연애의발견","KBS",29674,0,0,0,29674,"black"
7,"해피선데이슈퍼맨이돌아왔다","KBS",29471,0,0,3995,25476,"black"
7,"밥은먹고다니냐","SBS",29370,14848,4862,9660,0,"blue"
7,"기황후","MBC",29255,0,0,0,29255,"black"
7,"사랑의온도","SBS",28817,0,0,0,28817,"blue"
7,"달의연인보보경심려","SBS",28228,0,0,0,28228,"blue"
7,"친애하는판사님께","SBS",28055,0,0,0,28055,"blue"
7,"아이가다섯","KBS",27678,0,0,0,27678,"black"
