WEEK,DAYS,TIME,PUT
2020-01-06,월요일,17,7.4 
2020-01-06,월요일,18,9.8 
2020-01-06,월요일,19,13.2 
2020-01-06,월요일,20,16.5 
2020-01-06,월요일,21,17.4 
2020-01-06,월요일,22,18.5 
2020-01-06,월요일,23,15.7 
2020-01-06,화요일,17,7.9 
2020-01-06,화요일,18,10.7 
2020-01-06,화요일,19,13.7 
2020-01-06,화요일,20,17.7 
2020-01-06,화요일,21,21.1 
2020-01-06,화요일,22,21.9 
2020-01-06,화요일,23,18.3 
2020-01-06,수요일,17,7.9 
2020-01-06,수요일,18,10.4 
2020-01-06,수요일,19,13.7 
2020-01-06,수요일,20,16.2 
2020-01-06,수요일,21,19.3 
2020-01-06,수요일,22,19.3 
2020-01-06,수요일,23,16.9 
2020-01-06,목요일,17,6.7 
2020-01-06,목요일,18,10.3 
2020-01-06,목요일,19,13.9 
2020-01-06,목요일,20,17.2 
2020-01-06,목요일,21,19.7 
2020-01-06,목요일,22,20.4 
2020-01-06,목요일,23,18.6 
2020-01-06,금요일,17,6.9 
2020-01-06,금요일,18,9.6 
2020-01-06,금요일,19,13.3 
2020-01-06,금요일,20,16.5 
2020-01-06,금요일,21,18.9 
2020-01-06,금요일,22,21.4 
2020-01-06,금요일,23,20.8 
2020-01-06,토요일,17,12.5 
2020-01-06,토요일,18,14.8 
2020-01-06,토요일,19,17.9 
2020-01-06,토요일,20,21.5 
2020-01-06,토요일,21,23.5 
2020-01-06,토요일,22,24.5 
2020-01-06,토요일,23,22.2 
2020-01-06,일요일,17,14.6 
2020-01-06,일요일,18,17.8 
2020-01-06,일요일,19,21.8 
2020-01-06,일요일,20,24.6 
2020-01-06,일요일,21,26.4 
2020-01-06,일요일,22,25.8 
2020-01-06,일요일,23,19.9 
2020-01-13,월요일,17,7.2 
2020-01-13,월요일,18,10.3 
2020-01-13,월요일,19,14.3 
2020-01-13,월요일,20,16.9 
2020-01-13,월요일,21,18.4 
2020-01-13,월요일,22,19.6 
2020-01-13,월요일,23,16.4 
2020-01-13,화요일,17,6.9 
2020-01-13,화요일,18,9.8 
2020-01-13,화요일,19,12.5 
2020-01-13,화요일,20,15.4 
2020-01-13,화요일,21,17.6 
2020-01-13,화요일,22,18.6 
2020-01-13,화요일,23,15.5 
2020-01-13,수요일,17,7.8 
2020-01-13,수요일,18,10.0 
2020-01-13,수요일,19,13.8 
2020-01-13,수요일,20,16.9 
2020-01-13,수요일,21,17.6 
2020-01-13,수요일,22,17.5 
2020-01-13,수요일,23,14.6 
2020-01-13,목요일,17,7.6 
2020-01-13,목요일,18,9.2 
2020-01-13,목요일,19,13.7 
2020-01-13,목요일,20,17.2 
2020-01-13,목요일,21,19.4 
2020-01-13,목요일,22,20.7 
2020-01-13,목요일,23,18.0 
2020-01-13,금요일,17,7.3 
2020-01-13,금요일,18,10.1 
2020-01-13,금요일,19,13.9 
2020-01-13,금요일,20,17.5 
2020-01-13,금요일,21,19.5 
2020-01-13,금요일,22,22.1 
2020-01-13,금요일,23,19.8 
2020-01-13,토요일,17,12.6 
