CHANNEL,PLATFORM,MONTH,VIEWS
2016 올림픽,NAVER,2019-11-01,128
2016 올림픽,NAVER,2019-12-01,100
BBC,KAKAO,2019-11-01,163
BBC,KAKAO,2019-12-01,533
BBC,NAVER,2019-10-01,574
BBC,NAVER,2019-11-01,926
BBC,NAVER,2019-12-01,888
CATCH ON,NAVER,2019-01-01,1072
CATCH ON,NAVER,2019-02-01,1742
CATCH ON,NAVER,2019-03-01,735
CATCH ON,NAVER,2019-04-01,693
CATCH ON,NAVER,2019-05-01,4381
CATCH ON,NAVER,2019-06-01,1051
CATCH ON,NAVER,2019-07-01,568
CATCH ON,NAVER,2019-08-01,532
CATCH ON,NAVER,2019-09-01,633
CATCH ON,NAVER,2019-10-01,747
CATCH ON,NAVER,2019-11-01,948
CATCH ON,NAVER,2019-12-01,1314
CATCH ON,YOUTUBE,2019-12-01,431
chCGV,KAKAO,2019-01-01,494
chCGV,KAKAO,2019-02-01,899
chCGV,KAKAO,2019-03-01,596
chCGV,KAKAO,2019-04-01,395
chCGV,KAKAO,2019-05-01,565
chCGV,KAKAO,2019-06-01,466
chCGV,KAKAO,2019-07-01,505
chCGV,KAKAO,2019-08-01,802
chCGV,KAKAO,2019-09-01,451
chCGV,KAKAO,2019-10-01,356
chCGV,KAKAO,2019-11-01,239
chCGV,KAKAO,2019-12-01,256
chCGV,NAVER,2019-01-01,13133
chCGV,NAVER,2019-02-01,13434
chCGV,NAVER,2019-03-01,10388
chCGV,NAVER,2019-04-01,6438
chCGV,NAVER,2019-05-01,5102
chCGV,NAVER,2019-06-01,3617
chCGV,NAVER,2019-07-01,3774
chCGV,NAVER,2019-08-01,3936
chCGV,NAVER,2019-09-01,3440
chCGV,NAVER,2019-10-01,3506
chCGV,NAVER,2019-11-01,2617
chCGV,NAVER,2019-12-01,3125
CJ E&M PLUS,KAKAO,2019-01-01,213
CJ E&M PLUS,KAKAO,2019-02-01,200
CJ E&M PLUS,KAKAO,2019-03-01,243
CJ E&M PLUS,KAKAO,2019-04-01,252
CJ E&M PLUS,KAKAO,2019-05-01,157
CJ E&M PLUS,KAKAO,2019-06-01,174
CJ E&M PLUS,KAKAO,2019-07-01,196
CJ E&M PLUS,KAKAO,2019-08-01,351
CJ E&M PLUS,KAKAO,2019-09-01,385
CJ E&M PLUS,KAKAO,2019-10-01,459
CJ E&M PLUS,KAKAO,2019-11-01,156
CJ E&M PLUS,KAKAO,2019-12-01,215
CJ E&M PLUS,NAVER,2019-01-01,10281
CJ E&M PLUS,NAVER,2019-02-01,7272
CJ E&M PLUS,NAVER,2019-03-01,7569
CJ E&M PLUS,NAVER,2019-04-01,7838
CJ E&M PLUS,NAVER,2019-05-01,6306
CJ E&M PLUS,NAVER,2019-06-01,8567
CJ E&M PLUS,NAVER,2019-07-01,9383
CJ E&M PLUS,NAVER,2019-08-01,5472
CJ E&M PLUS,NAVER,2019-09-01,12575
CJ E&M PLUS,NAVER,2019-10-01,14158
CJ E&M PLUS,NAVER,2019-11-01,10375
CJ E&M PLUS,NAVER,2019-12-01,3517
