CHANNEL,PLATFORM,WEEK,VIEWS
TV CHOSUN,KAKAO,2019-12-30,173504
TV CHOSUN,KAKAO,2019-12-30,3314377
TV CHOSUN,KAKAO,2019-11-04,1169677
TV CHOSUN,KAKAO,2019-11-11,1029072
TV CHOSUN,KAKAO,2019-11-18,969794
TV CHOSUN,KAKAO,2019-11-25,2059668
TV CHOSUN,KAKAO,2019-12-02,1925986
TV CHOSUN,KAKAO,2019-12-09,1577609
TV CHOSUN,KAKAO,2019-12-16,1543175
TV CHOSUN,KAKAO,2019-12-23,1066494
TV CHOSUN,KAKAO,2020-01-06,3532931
TV CHOSUN,KAKAO,2020-01-13,2899506
TV CHOSUN,KAKAO,2020-01-20,3544961
TV CHOSUN,KAKAO,2020-01-27,4931672
TV CHOSUN,YOUTUBE,2019-12-30,930476
TV CHOSUN,YOUTUBE,2019-12-30,3724633
TV CHOSUN,YOUTUBE,2019-12-16,134626
TV CHOSUN,YOUTUBE,2019-12-23,2988890
TV CHOSUN,YOUTUBE,2020-01-06,5186997
TV CHOSUN,YOUTUBE,2020-01-13,9548448
TV CHOSUN,YOUTUBE,2020-01-20,12712870
TV CHOSUN,YOUTUBE,2020-01-27,13296064
TV CHOSUN,NAVER,2019-12-30,200841
TV CHOSUN,NAVER,2019-12-30,5271192
TV CHOSUN,NAVER,2019-11-04,2146091
TV CHOSUN,NAVER,2019-11-11,1389609
TV CHOSUN,NAVER,2019-11-18,2319630
TV CHOSUN,NAVER,2019-11-25,3803660
TV CHOSUN,NAVER,2019-12-02,2806753
TV CHOSUN,NAVER,2019-12-09,2663674
TV CHOSUN,NAVER,2019-12-16,3632427
TV CHOSUN,NAVER,2019-12-23,1784509
TV CHOSUN,NAVER,2020-01-06,6136135
TV CHOSUN,NAVER,2020-01-13,6105476
TV CHOSUN,NAVER,2020-01-20,7289317
TV CHOSUN,NAVER,2020-01-27,8377526
JTBC,YOUTUBE,2019-12-30,1881408
JTBC,YOUTUBE,2019-12-30,4274943
JTBC,YOUTUBE,2019-12-16,487565
JTBC,YOUTUBE,2019-12-23,4794805
JTBC,YOUTUBE,2020-01-06,5488896
JTBC,YOUTUBE,2020-01-13,5863137
JTBC,YOUTUBE,2020-01-20,5187551
JTBC,YOUTUBE,2020-01-27,7336711
JTBC,KAKAO,2019-12-30,184846
JTBC,KAKAO,2019-12-30,1656638
JTBC,KAKAO,2019-11-04,2368582
JTBC,KAKAO,2019-11-11,2054974
JTBC,KAKAO,2019-11-18,2024948
